"Rzeczywista","Przewidziana","P_BARBUNYA","P_BOMBAY","P_CALI","P_DERMASON","P_HOROZ","P_SEKER","P_SIRA"
"SEKER","SEKER",8.60413492896992e-12,1.79027162496334e-35,3.21517500733806e-18,1.86214095239277e-06,9.5270501117623e-10,0.999998136897738,2.03188831115161e-19
"SEKER","SEKER",8.86832274247186e-12,2.7207116510258e-35,6.53804405608407e-18,2.81796381692044e-06,1.35788352195736e-09,0.999997180669431,4.04767528631037e-19
"SEKER","SEKER",9.36716647329388e-12,1.74488241033345e-34,1.45429711447998e-16,1.76932809392069e-05,5.98022737922448e-09,0.999982300729466,8.48899979218246e-18
"SEKER","SEKER",6.12996964667045e-12,8.70774954399015e-33,4.1584482742984e-14,0.000404269604020466,1.06010578232136e-07,0.999595624379226,3.50970354347927e-15
"SEKER","SEKER",8.49296628693392e-12,1.21732900153732e-35,1.62720783282614e-18,1.20753162846383e-06,7.20128400614625e-10,0.99999879173975,1.05943112807003e-19
"SEKER","SEKER",1.25187985816635e-11,3.22607740498147e-34,1.76157413274766e-16,8.45663008782967e-06,2.69389307862008e-08,0.999991516418463,1.48804134342655e-17
"SEKER","SEKER",7.30350801040025e-13,1.08832647269701e-31,3.21992784290679e-14,0.000324279033699228,5.84314986033577e-08,0.999675662533999,4.04664575200618e-14
"SEKER","SEKER",3.01865152773352e-11,1.32629063609325e-33,3.59955312272601e-16,3.03956069028881e-06,4.91833023653443e-07,0.999996468576099,6.9183590131223e-17
"SEKER","SEKER",7.80638047124096e-12,1.0740114737032e-35,1.45267871757064e-18,1.31372242634215e-06,5.25608329486196e-10,0.999998685744159,9.14901630921072e-20
"SEKER","SEKER",8.45638687072215e-12,2.80324822227062e-35,7.62538383067236e-18,3.51286632448336e-06,1.17789683876614e-09,0.999996485947322,4.51740860089475e-19
"SEKER","SEKER",1.02933179498291e-11,7.61334392292427e-34,6.60611454465553e-16,2.04448236971786e-05,4.03928536375814e-08,0.999979514773155,5.84884411499602e-17
"SEKER","SEKER",9.71222213527737e-12,1.66086266536918e-34,1.12128242075646e-16,1.27437915517396e-05,6.99537534181274e-09,0.999987249203361,7.05925159953272e-18
"SEKER","SEKER",9.94444533484366e-12,7.99865114146725e-35,3.39144400859334e-17,6.1251880049674e-06,4.16329997393562e-09,0.999993870638751,2.15455748609355e-18
"SEKER","SEKER",4.20613725846167e-12,6.1617607365992e-32,1.01616629490661e-14,7.88469462123465e-05,1.97765884083627e-07,0.999920955283673,1.44286974343136e-14
"SEKER","SEKER",1.10490848804491e-11,1.70026964877271e-34,9.04809866158474e-17,8.10680527164957e-06,1.08942373802514e-08,0.999991882289442,6.34684640463293e-18
"SEKER","SEKER",8.90932278464347e-12,2.9299139270729e-35,7.3843268130859e-18,3.02530636184983e-06,1.44211547879292e-09,0.999996973242613,4.54828704762117e-19
"SEKER","SEKER",8.2596336226265e-12,8.80279163008343e-36,9.34811381031203e-19,8.74514716241886e-07,5.44470060745302e-10,0.999999124932554,6.19408818098561e-20
"SEKER","SEKER",8.39512995379699e-12,1.38218400916277e-33,1.56830382898764e-15,3.76182894007506e-05,4.88039089291857e-08,0.999962332898294,1.46939854146391e-16
"SEKER","SEKER",2.15399772465335e-11,1.96894371244277e-34,5.37885441661223e-17,1.78525481295641e-06,6.83849799834343e-08,0.999998146338667,5.1692023499937e-18
"SEKER","SEKER",8.73471325922491e-12,6.20373009780071e-34,8.18532814807198e-16,3.95355345763327e-05,1.85008637903148e-08,0.999960445955824,5.52558966409748e-17
"SEKER","SEKER",1.29611722706936e-11,1.50436161035026e-34,6.12937147512627e-17,4.81763395233315e-06,1.493782634515e-08,0.99999516741526,4.63227434492906e-18
"SEKER","SEKER",9.45286868333413e-12,7.15139374496796e-29,5.39735039599613e-15,0.00532275840489523,4.56686074615645e-10,0.994677241049888,7.90725063914289e-11
"SEKER","SEKER",1.03005343154363e-12,1.05686701438831e-31,2.38232038956518e-14,0.000191479914635098,9.71854501663643e-08,0.999808422898829,3.17439396629133e-14
"SEKER","SEKER",7.95462615221320e-12,9.98857421225908e-36,1.23911101119848e-18,1.13828623481873e-06,5.29144315204857e-10,0.999998861176666,7.93478383329475e-20
"SEKER","SEKER",9.40034797481417e-12,2.03603530725729e-34,1.44927572971901e-16,1.43350791936971e-05,8.22666114617234e-09,0.999985656684745,9.40258567841757e-18
"SEKER","SEKER",7.8258956323823e-12,1.08618412601642e-35,1.47847775572154e-18,1.32407161959481e-06,5.32513861290554e-10,0.999998675388041,9.30763024008429e-20
"SEKER","SEKER",8.57091561585681e-12,2.66335767999893e-35,6.70581507285229e-18,3.1078821268054e-06,1.19535634093184e-09,0.999996890913946,4.03907310951412e-19
"SEKER","SEKER",9.79977170535609e-12,1.61899878084287e-34,1.10036972068785e-16,1.27283002130885e-05,6.84419966515137e-09,0.999987264845787,6.8256271376287e-18
"SEKER","SEKER",5.20820080629118e-12,1.68506508536196e-31,3.51790857626857e-14,7.92292666424592e-05,1.1528447115522e-06,0.999919617883349,5.35001627479943e-14
"SEKER","SEKER",4.39313668507787e-12,1.95916047233807e-32,6.81683063383806e-15,4.10022144938315e-05,2.82046249342525e-07,0.999958715734854,3.19459859970851e-15
"SEKER","SEKER",9.15111589126241e-12,3.66724442646405e-35,1.04919064642467e-17,3.59488065822101e-06,1.81334403839675e-09,0.999996403296847,6.45875851989302e-19
"SEKER","SEKER",1.57276792172414e-12,2.0076938632179e-31,6.51215079853873e-14,0.000223406983029312,3.53328908248994e-07,0.999776239686342,8.26232215637642e-14
"SEKER","SEKER",3.51346990461077e-06,2.5639841950985e-25,2.45579292644114e-14,0.037357395198737,5.20375623295432e-08,0.962635734154282,3.30513948958366e-06
"SEKER","SEKER",8.34663727181169e-12,1.9164626926109e-35,3.84720613917886e-18,2.25485455358248e-06,9.00269458496113e-10,0.99999774423683,2.35622293579348e-19
